Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1728812735,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728812736,10,,Aggregated,0.000000,0.000000,33,35,35,35,39,39,39,39,39,39,39,10,0,33,33.406503894366324,29.789916006848216,39.22608296852559,14.0
1728812737,20,,Aggregated,0.000000,0.000000,15,31,33,33,35,35,39,39,39,39,39,23,0,15,19.92460495144453,2.444041892886162,39.22608296852559,13.91304347826087
1728812738,30,,Aggregated,10.000000,0.000000,11,15,18,30,33,35,39,39,39,39,39,44,0,10,13.939522653923962,1.841624965891242,39.22608296852559,13.931818181818182
1728812739,40,,Aggregated,10.000000,0.000000,9,11,13,15,33,35,35,39,39,39,39,70,0,9,10.726652252820454,1.800083089619875,39.22608296852559,13.942857142857143
1728812740,50,,Aggregated,12.000000,0.000000,8,12,15,31,120,150,150,150,150,150,150,97,0,8,25.503787280482808,1.800083089619875,151.26558300107718,13.938144329896907
1728812741,60,,Aggregated,15.000000,0.000000,3,10,13,15,35,150,150,150,150,150,150,132,0,3,19.979357543034535,1.383500057272613,151.26558300107718,13.931818181818182
1728812742,70,,Aggregated,17.000000,0.000000,3,9,12,14,33,150,150,150,150,150,150,175,0,3,16.26846633851528,1.2793750502169132,151.26558300107718,13.914285714285715
1728812743,80,,Aggregated,18.833333,0.000000,3,7,10,12,30,120,150,150,150,150,150,220,0,3,13.67084955881265,1.118500018492341,151.26558300107718,13.909090909090908
1728812744,90,,Aggregated,22.000000,0.000000,3,6,10,11,16,35,150,150,150,150,150,269,0,3,12.049146161456228,1.118500018492341,151.26558300107718,13.910780669144982
1728812745,100,,Aggregated,24.500000,0.000000,3,4,9,10,15,33,150,150,150,150,150,331,0,3,10.513402789259988,1.118500018492341,151.26558300107718,13.900302114803626
1728812746,110,,Aggregated,27.444444,0.000000,3,3,8,10,14,31,150,150,150,150,150,382,0,3,9.603954605387612,1.118500018492341,151.26558300107718,13.900523560209423
1728812747,120,,Aggregated,29.300000,0.000000,3,3,7,9,13,19,150,150,150,150,150,445,0,3,8.686326476065128,1.118500018492341,151.26558300107718,13.898876404494382
1728812748,130,,Aggregated,34.000000,0.000000,3,3,6,9,13,16,120,150,150,150,150,521,0,3,7.904358350961414,1.118500018492341,151.26558300107718,13.904030710172744
1728812749,140,,Aggregated,39.200000,0.000000,3,3,4,8,12,15,110,150,150,150,150,599,0,3,7.357204765763961,1.0462090140208602,151.26558300107718,13.909849749582637
1728812750,150,,Aggregated,44.400000,0.000000,2,3,4,7,12,15,35,150,150,150,150,677,0,2,6.8966216054171365,1.0462090140208602,151.26558300107718,13.909896602658788
1728812751,160,,Aggregated,49.000000,0.000000,3,3,4,7,12,14,35,150,150,150,150,755,0,3,6.59867378016502,1.0462090140208602,151.26558300107718,13.90860927152318
1728812752,170,,Aggregated,54.400000,0.000000,2,3,4,7,11,14,33,150,150,150,150,852,0,2,6.191141128254739,1.0462090140208602,151.26558300107718,13.916666666666666
1728812753,180,,Aggregated,59.100000,0.000000,2,3,3,5,11,14,31,120,150,150,150,957,0,2,5.810994026713392,1.0462090140208602,151.26558300107718,13.918495297805643
1728812754,190,,Aggregated,64.000000,0.000000,2,3,3,5,10,13,30,120,150,150,150,1057,0,2,5.562736390003461,1.0462090140208602,151.26558300107718,13.915799432355724
1728812755,200,,Aggregated,69.700000,0.000000,2,3,3,4,10,13,19,110,150,150,150,1161,0,2,5.322664148779064,1.0462090140208602,151.26558300107718,13.916451335055987
1728812756,210,,Aggregated,74.700000,0.000000,2,3,3,4,10,13,18,39,150,150,150,1275,0,2,5.094181627272537,1.0462090140208602,151.26558300107718,13.916078431372549
1728812757,220,,Aggregated,79.400000,0.000000,2,3,3,4,10,13,16,35,150,150,150,1395,0,2,4.909248563200636,1.0439580073580146,151.26558300107718,13.9168458781362
1728812758,230,,Aggregated,84.700000,0.000000,2,3,3,4,9,12,15,35,150,150,150,1511,0,2,4.749504930366257,1.0439580073580146,151.26558300107718,13.913302448709464
1728812759,240,,Aggregated,90.700000,0.000000,2,3,3,4,9,12,15,33,150,150,150,1641,0,2,4.612172451659148,1.0439580073580146,151.26558300107718,13.914076782449726
1728812760,250,,Aggregated,96.000000,0.000000,2,3,3,4,9,12,14,33,150,150,150,1766,0,2,4.4776882217814125,1.0439580073580146,151.26558300107718,13.912231030577576
